No,분류,계,특수,일반,인구 십만 명당 119 구급차 수,계,1급 응급구조사,2급 응급구조사,간호사,기타
1,전체,"1,659","1,659",0,3.2,"14,212","5,386","2,486","4,392","1,948"
2,서울,161,161,0,1.7,"1,515",497,368,315,335
3,부산,76,76,0,2.3,666,99,148,323,96
4,대구,63,63,0,2.7,573,159,146,236,32
5,인천,80,80,0,2.7,651,391,95,104,61
6,광주,33,33,0,2.3,297,185,16,87,9
7,대전,34,34,0,2.4,291,162,46,82,1
8,울산,32,32,0,2.9,276,82,7,176,11
9,세종,12,12,0,3.1,107,62,2,43,0
10,경기,279,279,0,2,"2,348","1,259",142,911,36
11,강원,129,129,0,8.4,"1,073",261,337,152,323
12,충북,78,78,0,4.9,648,330,44,73,201
13,충남,111,111,0,5.2,999,528,126,169,176
14,전북,108,108,0,6.2,963,201,390,283,89
15,전남,137,137,0,7.6,"1,052",338,141,385,188
16,경북,147,147,0,5.8,"1,246",263,362,554,67
17,경남,147,147,0,4.5,"1,233",451,114,398,270
18,제주,32,32,0,4.7,274,118,2,101,53
